ip_version,ip_ihl,ip_len,ip_ttl,ip_proto,src_port,dst_port,tcp_flags,payload_len,payload_mean,payload_std,payload_bytes,has_shellcode_pattern,has_suspicious_strings,entropy,printable_ratio
4,5,946,78,17,57680,21608,28,204,136.4558823529412,75.74773027535883,40f486791c5d368229c6febf32b839d698d8058fb0b87df31eb9393ba383e0bff4bfaec3809500ceb5f27e21f2d23df8e3c591b560bcd6646ee58cc2147a785eb3a2e75ab369b36f9af10e7f9c400bcb681fffc5496ff1bb4e175ce583463d4d45d50b73432545464faac20c2bd85d076ab57362ee46e01bd4a899cfbcf45f104fc78ee0de1bc1ddeaddf71f0b1d0baef5f2d9a8ccf19ac7b10bf3fbfcd1eb0651f06374c0d92ce273c2604a96a82332ee94a361687e92782a220b799944fa085f57510af70d97508d07e97e,0,0,6.9833644349602775,0.3333333333333333
4,5,347,115,6,29584,56262,19,76,129.75,79.52227840773864,558ed8232dc7cc9a3ebb7af340b4e26af802edd54d482f28d18d716dbd5409cc1d3f44563bedd15a2ee9bc1537f0a2c95f21f5ecd60e9a14f8a1c70b40158120f24822a34bbf62e4ec5342f6,0,0,5.9847696187067445,0.40789473684210525
6,10,438,76,1,53882,14592,11,239,123.44351464435147,73.713314042615,bcaf0e2fcbcf9d02833b84bdea0a95f0249c21d7a9daa0f86efb56bbbf4392abddc8ca4a8501b7ad7242d78fd9d456a03e30adb3a46adccc6e7a0c6f3019e7122783a93fa9b972fc9f8f27baae4f9f2d9c06bef74def7bdb7e89afd461a6571ebe7218333031fbea851245af3be537cb2ae9e83653d2e8c5248e023965eadfbb26010116257539275bdb535712b37c556b8017596df8230224102af4e0a24411dad2392ff4f8149010bac7368b216a102ea1725fbd7bf138e7649780840684470375cb5a418991a369f644aac9afc5c45b51648f589854ac537e25680c5cb4f4a810572e9501c58002a198323804b5,0,0,7.063719527501186,0.37656903765690375
4,12,1494,96,6,47209,765,25,21,113.0952380952381,70.44072466698492,51f31be90c47ce0b496c991c429f5d9e41d96e5fa6,0,0,4.392317422778761,0.42857142857142855
6,9,1214,67,6,53257,8706,19,220,131.5,78.24178725417303,0810ba49dabf8727ad9e9d785f35a72baeb3baf7e3b012f341ff298f71b72d31064e5f74efb11a49cefa3ffa5b3400f2d903c5e769d2d72997465e62e5f305b76a4eb3f1f374c9775c3e97e3e1720d8a29d6f0032d61a5bd070ed162e117e60fefc797e90935a77f04feb5526da0f6f42a98b3080f8647af675da8e16e7acdaf27d90f9fe6bb7798a3fb5c5d3680fb0583f89090909715fcde043c117fbfaa5d106b61fb7714f0ada1b2f7a44dda0ccf71e36e0e3c768ea3ea5d6fb0c45ef1388c33583d4021de64feebb6a64d8e9ec41ed1fa00254c7635ee150819,1,0,7.0401840315884705,0.33181818181818185
6,12,1172,109,1,8991,31743,46,154,129.41558441558442,75.75564796557701,180ef23b1d58a511a864300b6164131732fe1f9c0bcc0c9df01de7f23b03c07b73c57b80c455ecdec691e5c8bd5079ebbde0a0d636db34a8a5e359a5157390a0ae4cb93fc9238866a2c5e095d2074a7bda1b1b159a8ba1a0bb614e629bdf40cedd8af3cc6c0ce31ce2d4dd7382b102d5b56c04170ea9c65d2bc96a3ff17ff041a6329fe187dea65dfebc2b126e2b634f8cc808d9e68c0164203f,0,0,6.6870189269601985,0.2987012987012987
6,13,1492,47,1,23886,59971,48,158,127.14556962025317,74.15181365087106,8e64a69f7a774567caa3fd30465dd2840e145e7476ac006fc4cda70aafe691fc424a250a91a852f71c1e981452fe25c277bc3e48cee0e6bec7fcca960124df877b0fadbd6d3dfda0703a2b8c080ac781359760ed467a9f6948c259a076f441b3a4ec9965e700cb368e0d2c026694387bd23cb74b96b36cee7ad728ef0c123aff914a126b87dab9f46155c5b8b1d07db60d2288fcfd133805e168b323898b,0,0,6.80675970379115,0.3670886075949367
4,15,948,85,1,32002,1536,62,120,120.45833333333333,72.84411390466326,cb97b0cc2f9c0be808b4a0cbd3b4051654e9b4c20d7c90909098a3520d5b5e2f5b13807bfd175951ca6fb08c859421ca516938565fd867239e730b7d2345ea460b41a161180519df1c887cfa6186c06deb8d5b52c0f806b50dfb038d0a8132e947a844c71ffdc4ca80030187ead78b68d24f52ce6f896166,1,0,6.339898095464286,0.3416666666666667
4,5,748,112,1,50386,176,6,233,126.86695278969957,75.16336644046092,e4cb9bd0f993e7eb680f368bf0fc9669e937d9945fc8d6950cda6c400ecf069f3ffb31fb08f1246ee4d60c99d4b0758ca2dc8aa0986c08434a1830accc699426cacd6d8df0744c4f2ab0927b63c1a910c346e858b1be00648047ba8e7436b1bc9591d1d1496e31cebf331f65fc18605a2b269d009617c4d172b708cacba600c061c54a791d33246f1da90493c85853055f95b0fb5337c7e299e40f500d3ce8541dcce5f6a219450bb34dcebace8f947c2d31a8fd7d19c00071be323b2ebd6c8a4cf029596920ceead1ec0a2d46f8b5541e2c8ff159c97d68d7296f1b08f3f0b6b5619984231a1da12b,0,0,7.088246284055692,0.3562231759656652
4,5,322,102,17,60064,12897,22,174,132.41954022988506,72.96024636206967,6b0bc6f9232d9a6b107ca24bfc7e1f98d44e63ffbcf5791fd707015ca42ccafa77555b3f487c9d765723ac630ca2a405f7d660e6197f41c09e50f0c8ca72251dc9489b3dba5b1bb7070dd52b7778c27ddac620437ae8b36e8dc8355aba624d58e5b085f1ffa559cd89e986c54ac4b4477f31534d5a51d51539bed94cd671c2950fe735442931f67d63c0063cbf82e7f0a2dafbdb03da81f633ad6af8809674cde564e09960d23d4c458eddf08e2a,0,0,6.965819645224282,0.40229885057471265
4,14,621,55,6,26885,49267,23,7,130.57142857142858,76.52050545508727,754cb431d0f824,0,0,2.807354922057604,0.5714285714285714
6,11,1055,88,17,8285,45988,53,70,118.5,75.12442060627536,58493c24158c43134711c809e6f7dd7e44142af2701843a0c4e3b1f9ab636d642e657865cfbba129e61f3cce39a15392b86d0ce40d53c445c7063c0ca6accf62b4064fc59eeb,0,1,5.77564176691406,0.4
6,12,1164,77,1,54533,20911,36,216,124.27777777777777,74.35678919080242,1f93e0ab7f3af0b63771af62ef6a59e27a47998eed838a13e544a444461e993b0bfbed09db206bad586e98d2088667a367a2635a87201b52e0f8efc6051f000302367490663534e27d616df23caa82847797ecd84f12362646aac02eee2b399072e07515052826561448a3c2d451a4e7aa01d6a79d9e22f783a564f913293dac940c8463e1e11461e5d661959196b1a4191f3026cc4b84b92abdfd5814264b6c797c8a81aa650a96f19090908f3fff1f32cae8f0d8096c073a0bbe82f2fcf9994b407b4adadd0d3493b802f075bf5e7ef77bdd880dadcd79,1,0,7.071328518405391,0.3611111111111111
6,6,887,80,1,25857,26121,61,99,136.43434343434345,67.29734435995417,3cfae45c562a7ac693bf74b2036bcb9887f473b589a9494be5650549b8763bb4d57c68c7dcc55998638ec8f6e02e9c6f3c3aa94fa71bb1b2a68582216b4fe2edeba7eb46b4e9288a6ea7bf06f6e106ca13ce953faab55387ce0c198a92b149a49f4c49,0,0,6.177287049350687,0.3434343434343434
4,7,837,57,6,63209,8899,23,210,126.0,74.08347929708691,8a98811710556aec6e969f421dcac7606e7465c0c31314f8c3fc8c6207871865cb55fe9acbec277d1641d213bf3e1ceecba7c669ba4b761a135c52c2941d8046b9b225eec1a121276ebc07c0df55a4e122323d03bc35fb080e2e35808c1b4b2557c1e072c420a68e7cb81068861291b2f55de651aaca9463681c5731ef17a709e018df64ffa0272ff1691fc6cb5e3d1c7e61e9e9c3376151ce5aa2543176ef63376de1df5383f9047033d9ef6d279a44b2307abf3ad11e814bf4e6e7664ba12762b8500fa5dee9ff7df0748050e77e69a6e0,0,0,6.90153937242613,0.3952380952380952
6,10,519,34,1,29930,39445,6,159,124.91823899371069,73.42252739435172,f3bf5f8805d384a99feb9ddca1c573c51556912442bd0b38607f453b8407fe8314a8fda950cd0fb5434156aa1e685912f3bb3b00fdb3ba3574382aa4948c45cf9c9a52f9894bed40978207cd30075476c88975749682e4ec451f188207e9895886489319cd0c22873ecae049f898f061db6e53e3ed0fa0f744c33335a171d51d33782e403368dd99c9138b6e5aa64304c965a1e6f1ab0f4065ce20ead5931d,0,0,6.784335156433364,0.34591194968553457
4,15,47,31,17,3386,55989,63,2,161.0,82.0,4ff3,0,0,1.0,0.5
4,5,788,22,6,58683,53377,43,206,127.76699029126213,71.15287846772345,94324effb7b63b4806f41fb8eca34d1e1dd3d4216b4c71df8d877c1429233f1bf42f2a4a53c0f781622db57435f0c51f4a2c4d580895c6e955eb7f624c88a2e90f2e70b1889f7853d593295092495eb51149973cabef95ea7d5316209bed708a4b4b66d0923eedc94638a7c9b4afc4d600d35e70b602bb31583a53d474c6adf0be8a86be9549530cfbf45f7a6e79d829f786b9b08990c77f2ae7129e7311fc50f22ef294bb52fbdefe39f657667737332f255836ba3e9b8d7cbd1745dd0f7d65a84683cde148c379e5db70529b38,0,0,7.02563176268119,0.42718446601941745
4,5,276,59,1,19731,16568,55,160,125.2375,73.99049664483947,3fda7bb5b0ed88988719cf3cbe165eac4054c203cd7093afe197a514be1627f594295ef3cc7aa2d25ffff4dc5f60a3873212412163e7b3fc9bd75f87c2fb4f7b55a0782d3b62171cf9220ccd148cbc5ccebd881203beac246dce3623cbae190452727e2ed063edae9a0bab6a4f6fa50c065829fa35643d2022f05d43714dc2b6e481b013190c3ab17fcf2ce9a8299cfd7b682e6cf45f976543f7cc09bbaa85db,0,0,6.788901766667712,0.38125
6,13,935,51,6,1300,62577,30,151,124.04635761589404,71.22051733441737,4f4a3e4a6090d6de675444482235849ec2f270d1d030cace589f515e57e7c256541e25fcffff62dc5c3c842667a2c558dc1de2f2140128f265c333b4defa498a6a99e5073259aedc1d870935e4572feb29b63ea6e2662c6c46b51133007818742d9285f43e85504f3fa8c5c43186443364d6f09a21804652873339a1d26567e7ee2c909090627ee75fbbb87b6b80e99f2c74ee67382b18,1,0,6.5908919081276105,0.4768211920529801
6,6,1459,24,6,53385,16420,62,40,130.475,72.54756629274341,289618d9dad3348a1b05ac209456749d53bf7a73471b529ae691105ef7e27b73f3c62aefad9de964,0,0,5.171928094887364,0.375
6,5,1327,55,6,23022,47425,62,114,124.48245614035088,70.52587337296863,59a085f4b9f10e5883d44282f8cd0527809e303f44923f9bc51378e4b34630b4cb716337ea7220c7ce98442a3ef09e322280fb55e54c013abb823abae46612a410cabd937fcef7937c5c03820335b27bb385299180b1874ecf64b59ce2cb1326e1829610c227babc4cb46354a2062d389c2c,0,0,6.370127843093131,0.35964912280701755
6,8,1196,23,1,47735,6739,59,234,126.68376068376068,71.41729417462398,10b2d34ed862111cc8c70da2ca4a16875afbe0a080c139603b3c0c609e808c5b7f56da37a9b23a4d22bd9b3df57d9dd3c3b6fabfb3af6cd9ab238e209e942ad80692d2a98514ceab90f75aca5b770ad8f4c080ab5818ec2b13693faae6fe232e76bb48f8a964a24cf43edc6c358a3347a6053f5efa849c0bd1f0aeb8e16249b75151ae1b8841602b2d52a7fd12b55ffa4e7628964721a23c917e5849b8b19891c02986b772ffa25a4a71f4c73ba0093bdc2c66d86bf249aa95ae486b471e0111c8dcaef59585953d52f9737d38cf4b025ea201aff120fe627b61cb40611d1581882609488e9c2e51f4e7,0,0,7.0918259781102195,0.3888888888888889
6,11,739,36,6,2771,32831,20,41,129.4878048780488,70.32992699958393,263498c9dfad1948a22e77a5a2eaed63be718011d78540ce6b3a7a624346dc3ceb8aded9d444129714,0,0,5.308771516813206,0.3902439024390244
6,12,123,108,17,12112,54570,6,220,119.96363636363637,70.90511294203199,2ab307397c3b995f821a8f9cc15d3adca334ea9fa9c6e43c3f77198496574d5829401095bfc2ea99b28c387c30b4b107e811878c8eb0ac054b134abef8b5405197266d5d7111aa47e32df52e69452167b6b4f4e06b6e0abe8430a245801dba26688d7f0c44bf6780893f93fb2e34432a761be56098a17b9203fe930beeaa2332170910debfb6ed54decd63e490a166c7fd188dc9b73d45bc142c3720610d0cc7a25a1ca6e3afbf985e8350bf72b0a6d879229f3bce450854e14524d62747111e469d4d60df3204a02ddc5f37bdb167dcbe768b59b1926e12f3edf643,0,0,7.149570084162429,0.39090909090909093
6,11,124,1,1,25256,48398,54,10,97.0,73.9012855097934,45f4d1129828302c355d,0,0,3.321928094887362,0.6
4,11,21,35,6,31369,21648,56,183,131.97814207650273,67.83014436059985,1b84ca38b9e96f684dd09b4b814003b543ce815adc220f4287cad9ede6703db6b49c3ebe73cadb91d38a306578c01d780e228f9035d7efbf98303bd4b782df5ba28892fc6d4f8c9a41f860547ea692939a984b575b50428c40931d97a381832392a9cc93f927f9d6a4e5189edaf8d83de2f8a379f835bdfcb1782e2ae4af97304a5e4460c879dd4385464dc81f328beb91199e99bfbba844f5f44c831f8019181eced726cbb49e887b47ad68211d6d244345545bc9ce27,0,0,6.847373267115746,0.366120218579235
4,14,622,91,17,37981,1134,59,104,138.17307692307693,70.4737324643418,24bb7d00e1c685d1ff8efa173c54faa1cf028944431b64c52e28ce8887ad0dcff89ad057fd8fc58cc01f65bfd7529813e1f1f4e71c9a945e6fe34e7c7b06656b545e3fbf98a94cc4403b60989fdec55f74b50de467b29ddcaa00ff9969f49135bcd2a395706aa486,0,0,6.378230343099487,0.3173076923076923
6,9,707,16,17,21918,31413,13,89,127.64044943820225,70.02972838891331,f074458fb0bedc66d5496cdfba909090a323a276c86828ec14795ac313c702314f67c0f0f244cde8a671c3a92edf74c4540393d91e18c7745d0864b54318e37a405e03eca647f253976f6d99636d49e8862d95845de1283318,1,0,6.023321492691225,0.4157303370786517
4,15,47,84,1,44221,54113,17,96,127.51041666666667,74.26416739020051,f49c8d25d5042c5b4023560ebf986b8ca1b5290777abdcec13b18b1a1ab3092bef1a51d0d177186caebae8f5a2a6be0df6b482a9f87e4ae8ae4c824ce9db0de23196e94996c3a1551573bb7c1823c01a48a73254b0ecaf57dc4882321b76a8b6,0,0,6.16043242257362,0.3125
6,13,1352,75,1,36790,61814,56,148,127.47297297297297,69.47957564422781,e1a47885ae076a19b01cbbded6496fd54a71f2bc66507f248deeba6d9553af5c031a01ae793f7437b376b6fd70b462915013eb1dbeae701a692bcecb3f13c070ac8724a09ba011f5f628254f824b42e746878d549d6cd71d634497ddcbfb8ac7e0afc89b9952495e1d3edec2e065359b7d6f25e659901a8a122e59ab7a0e79dbcf0be03a9bd891ced6880886e50ed72f965abb7c,0,0,6.697463922988292,0.36486486486486486
6,6,241,18,6,496,16605,11,148,132.97972972972974,73.64767015219064,2fe45c9dd28dda8c62263f8e7201e8c4a7b87bf8466be807b111a7d47597b3afddd9332367507d69dd33ca24e5e0b79ab4b0b3acfbc6e9c7ae0a74ed44ae6163ff8030e01a83a6053496fefc6e0785ae78aa31c11978fbe24b8f44da230efeaaa33efd3e9ca30914e426b2611a454a408319b50737b055ff5680d601c872bdd3df1b703454cbc2ad40b759d660448e9e5e531bb3,0,0,6.6755374871921,0.34459459459459457
6,8,1218,109,17,58772,5970,37,2,111.5,57.5,36a9,0,0,1.0,0.5
6,7,80,67,1,27111,40631,49,205,119.61463414634146,75.15559652002494,7615f5c5665231662a58318c3acf25555fbbfaca260c26c91556411781105075330abff16c66c8c50bc4b5a8f064416225ab0bbf94870e22f648fe1e1f390519005e93deaeca217ac49191c455aac2801e607cf4983f1a1129d451a9a82139f95905e657c80622f4d42beb2bbe71bb6817e22e39f13d0a98e6ca01a3d28ac8b41b8e2ae0d3b9614c512231775b8ba551ef92a96083095fe7ff32ad64b762a4e3b2cc0b5e2f9becd981137d53acc830cceffa014620f7b6990db69c7d65909090508e1a6752b7312c28554603c9,1,0,6.992680160386073,0.3902439024390244
6,9,749,62,6,6243,32296,28,124,128.6290322580645,70.59007831932185,ea5ca1dde21a9ec08fda03f4686722a9514a926f567b3918c967924ad99086b7997603c7c886a9eac8708797d4a3803ab409107477a5c4e5f865357252f50e656736b84c8633def9e7cbcbfb56acac0852ef37e0717688572333077b45b908635d39ac65ffa9576d1a9f80b6e697b3d427555212f520c15b1a4d0f76,0,0,6.389364858634391,0.3951612903225806
6,13,29,42,6,63913,55420,9,137,122.87591240875912,74.30794529292652,d3964b10aae46fbd297c6c6dda37f9810c87c5dad276c5b5a995ee90d62b2c10af0465cf9937582f623f8158b2e45f1b0de030424fa8bde5eca83759ae4d0be72dc31ec5263c88e7c65a3db8655262f4ec3e7cb504fa51f23d840940f4457c530662300ec204bcabbf0a294c3aefbf27d0d20f69002fdb283991c84d2f64377accb769a08cf7bc555a,0,0,6.5595325390859465,0.4233576642335766
6,9,1005,32,6,34962,10255,34,71,136.28169014084506,75.87019736265123,192e53959ccae6a0e18fd0b62725c1ce9d2572b587c6dc2a1ee4fb3e208bbe1e5c7177e8f381a2db1a71b0f0ef6ed586470bfd4b397be51255f97fe1f70e25384eb72a75f27d7a,0,0,5.970100816657309,0.36619718309859156
4,8,1292,45,17,41910,35863,54,121,114.7107438016529,72.13869080470623,3e1909c56f859216d2a755ade2a671b32c992f564a8399a151101b4ce4f01de12c399e347c2bc00aa59405339d551375ca1736da44c132480012c7113041e994278e2ba845f134ae4254551f6e1c1597a989f89d8af30114c447237098cdaa5f34cf676a32958a110a9fafd431c4c37990a06bf9ebfa970e94,0,0,6.635684208295336,0.35537190082644626
6,5,1094,78,6,28785,656,12,166,125.39759036144578,69.84525749250011,5c5f7964c48d92da661f8cdfd4f17816a3ba5bf7c00cd4f25d5e28d1b7294f2b356e79dc71d644cf8195d20b1c0a5f459460d37d39cb1f9d5fb600635bb136e637389f547d06edb6fde30ac5933130fac7c273fcb755520742b8ebac581f7c31b934d48faf65e5d261fd725c56c84a56c6441389214e57841a988a959ec53a5db238fcbf9d626b4c7b5754ba4045fcaa337dd61e8c7617b2125fd971e84551d1b76e25153c45,0,0,6.846277759595013,0.4457831325301205
4,11,1327,6,1,59991,20126,41,215,121.8,74.08789249231947,2e9ec6d93e72a28d20e1b745920b4e5f31df872ae8bfa60b1c0d1df4060b8624ddfcaf90588cce2917bfffa35f8e615cd87107b9073c661c1484e03bc13e079de1c293e233d793dd52fee14aad8830096ac852abb5528bd5e01b4a500c80ec792dd6f7689b2ddcf4cb1fb21e97af64f2d51052c73c7be2c470a9336cab7f840667660d2f491a02073f41ab1fb09959c914943274f30b36911c5e268d5536e47bb900db81223c8c1198a3849ace81e332ab2e5af6698f5423b2f1703c3c95ad19637a39a8d3518d4fd9ef039c8f9600fe255facbece44de,0,0,7.11498835895031,0.34418604651162793
4,10,475,5,17,49752,33347,3,237,128.9071729957806,72.90505813241458,34796bbeb57baec7c684744554991858f2306f4206794d914328b19f3bd3d3d7238bba62a36a5dab6b00db6b0f424a9b0f2adee775944f16fd9291406d818c46130e10f1acd19a5de8e338c73cde9db8f1805753fa2237f333af46ec3b67b2819cdb010a033734d6a6214ee98a4309f5b792e5fb9056babc0735f6beab06d6778ecdf9aef1e9729362885b86eb3bf79915e375d92a23f181cfbfb5323da661e25f2a848fbc165e1875deff708c119985276e08cfc61d206875c28c566a71d226d6563b0275b6c0537f6c4d4498bc12f341d8cdc1405fc21ba008dcda98d9e9b57d03456d2663e6ed4adbcc6952,0,0,7.177062698263665,0.38396624472573837
6,14,387,116,6,39519,2899,29,10,117.0,55.21775076911409,004a5394747d71bd76cc,0,0,3.321928094887362,0.6
6,13,1204,52,6,51144,25528,48,164,135.16463414634146,73.61851879949776,2fa0353f3263a50d6293c168cf77a9fcbc7395d3c6c80b9fb8e05d37f9d7f4c20f5f426162229dc55043e9ea8c7ff4ae712a6da521ae7f2b31b8e060dae6374211a2c99b22fadc3e7d30d0d65c4a5b3025e918352c2aebec7cc2a618ee2622e6bd91356eb89d5910906cf9f5cb038c2f6eddcf579177d4a336f1a0ac93f5cbde0ebfaf4bf0349d55eed7c86b1690feef75b5e47eeb98474711a08fd10f74184a0c78b893,0,0,6.756763437465765,0.3780487804878049
6,14,496,71,1,59266,37100,16,65,118.35384615384615,65.24968158348025,9263e46eda245883e4a8114cea4d1016636d642e6578652471577c62e28abd9896c8c08fb8745b0883092f5479b52d7669351e1ad7cc8f2d781ceab555529acbe8,0,1,5.714675505336148,0.47692307692307695
6,15,1189,113,1,32053,24152,22,128,125.7734375,70.68594879418112,075191958fb0766b97c9dfa8bdcd7dafbab7f26479cf490e7e2188424b315856bcedd17b8d376c4a11fa1d424ae79b37ecf7751248291c5f4ba4bcd108eadada09e31090384bfb227e6fb17cc78dbf45cf583427ce847b27b3523df297136a60b22cd2766e372843ce901e97e5336b39fa95cf65e47b13ec3b1268c7bfa34754,0,0,6.48613720694674,0.4453125
